"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
80;"Passo Pordoi";23/11/1984;;"METEO";2154;"LIVINALLONGO DEL COL DI LANA (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1716666;5151658;46.48343791;11.82249512;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
81;"Monte Summano";29/11/1985;;"METEO";597;"PIOVENE ROCCHETTE (VI)";"VI";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1687851;5069238;45.7509777;11.41482813;"BRENTA: VENETO";"BRENTA - Bacchiglione - Timonchio";"Vene-B Alto Brenta-Bacchiglione-Alpone";
82;"Pove del Grappa - Costalunga";26/11/1985;;"METEO";669;"POVE DEL GRAPPA (VI)";"VI";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1712943;5076136;45.80571942;11.74011907;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
83;"Montecchio Precalcino";05/10/1993;;"AGRO";75;"MONTECCHIO PRECALCINO (VI)";"VI";"BFOGL, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1698514;5059321;45.65882861;11.54773196;"BRENTA: VENETO";"BRENTA - Bacchiglione - Timonchio";"Vene-B Alto Brenta-Bacchiglione-Alpone";
84;"Torricelle Verona Citta'";05/09/1985;01/12/2000;"METEO";317;"VERONA (VR)";"VR";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1656927.385;5037920.253;45.47686453;11.00735569;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
85;"Caprino Veronese";03/12/1985;01/02/2002;"METEO";319;"CAPRINO VERONESE (VR)";"VR";"DVENTO5M, DVENTO5M, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1635320.665;5051807.142;45.60659173;10.73818339;"PO: VENETO";"PO: AFFLUENTI DEL LAGO BENACO O DI GARDA";"Vene-C Adige-Garda e monti Lessini";
86;"Bernardi a Selva di Progno";01/11/1986;31/03/1989;"METEO";596;"SELVA DI PROGNO (VR)";"VR";"";1666865.497;5053212.238;45.61222222;11.13972222;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
87;"San Bortolo";25/11/1986;;"METEO";935;"SELVA DI PROGNO (VR)";"VR";"DVENTO5M, DVENTO5M, ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1670124;5052891;45.6085427;11.18136996;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
88;"Crespadoro";30/10/1986;;"METEO";374;"CRESPADORO (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1672229.86;5054913.186;45.62621136;11.20907007;"ADIGE: VENETO";"ADIGE: ALTO CHIAMPO";"Vene-B Alto Brenta-Bacchiglione-Alpone";
91;"Passo Monte Croce Comelico";30/10/1986;;"METEO";1621;"COMELICO SUPERIORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, FREQGEONOR, HUMIDEX2M, INDSEREN, PREC, PRECGEONOR, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1762015;5172231;46.65215334;12.42397152;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
92;"Col Indes (Tambre)";30/10/1986;;"METEO";1181;"TAMBRE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1765830.069;5113060.948;46.11907392;12.44015627;"PIAVE: VENETO";"PIAVE - Raj";"Vene-H Piave pedemontano";
93;"Torch";06/11/1986;;"METEO";593;"ALPAGO (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1759719;5116409;46.15155195;12.36301566;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
95;"Valda a Puos d'Alpago";21/11/1986;01/07/2006;"IDRO";437;"ALPAGO (BL)";"BL";"LIDRO, LIDROMAX, LIDROMIN, PORT";1758859;5115903;46.14733278;12.35162171;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
96;"Bagnolo di Po - Pellizzare";01/01/1989;;"AGRO";6;"BAGNOLO DI PO (RO)";"RO";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1699431;4984911;44.98944662;11.52950565;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
98;"Concadirame (Rovigo)";01/01/1989;;"AGRO";6;"ROVIGO (RO)";"RO";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1714125;4996919;45.09313663;11.72081886;"FISS.TAR.C.BIANCO";"FTC: DELTA PO ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
99;"San Bellino";01/01/1989;;"AGRO";6;"SAN BELLINO (RO)";"RO";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1702997;4989700;45.03150148;11.57662814;"FISS.TAR.C.BIANCO";"FTC: DELTA PO ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
100;"Conegliano";01/08/1989;;"AGRO";90;"CONEGLIANO (TV)";"TV";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1754728;5086125;45.88132477;12.28232702;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-H Piave pedemontano";
101;"Porto Tolle - Pradon";04/01/1989;;"AGRO";-3;"PORTO TOLLE (RO)";"RO";"BFOGL, DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VISIB, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1765950.677;4979312.085;44.9173386;12.36910037;"PO: VENETO";"PO - Delta";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
102;"Castelfranco Veneto";01/08/1989;;"AGRO";49;"CASTELFRANCO VENETO (TV)";"TV";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1729533;5064401;45.69492112;11.94778216;"BRENTA: VENETO";"BRENTA - Muson dei Sassi";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
104;"Villafranca di Verona";20/11/1990;;"AGRO";67;"VILLAFRANCA DI VERONA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VISIB, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1643529;5025977;45.3724202;10.83262812;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
105;"Lonigo";01/11/1990;;"AGRO";29;"LONIGO (VI)";"VI";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1686303;5029102;45.39045584;11.37964132;"BRENTA: VENETO";"BRENTA - Agno - Guà";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
106;"Montagnana";01/11/1990;;"AGRO";12;"MONTAGNANA (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1690157.903;5013351.165;45.24776886;11.4227919;"BRENTA: VENETO";"BRENTA - Fratta - Gorzone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
107;"Campagna Lupia";13/06/1991;06/06/2001;"AGRO";1;"CAMPAGNA LUPIA (VE)";"VE";"DVENTO2M, DVENTO2M, PREC, TARIA2M, UMID2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1747642;5030045;45.37992773;12.16264929;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
108;"Salizzole";21/06/1991;;"AGRO";21;"SALIZZOLE (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1665611.88;5010656.484;45.22973697;11.10933964;"FISS.TAR.C.BIANCO";"PIAVE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
109;"Ponton S. Ambrogio di Valp.";01/09/1991;01/09/2001;"AGRO";115;"SANT'AMBROGIO DI VALPOLICELLA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, PREC, RADSOL, TARIA2M, UMID2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1641284;5041581;45.5132588;10.80845821;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
110;"Cittadella";01/09/1991;;"METEO";50;"CITTADELLA (PD)";"PD";"DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1717673.915;5059697.673;45.65646666;11.79354713;"BRENTA: VENETO";"BRENTA: PARTE CENTRALE-ricarica laguna";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
111;"Legnaro";01/07/1991;;"AGRO";7;"LEGNARO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1731296.001;5025798.95;45.34734845;11.95217201;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
112;"Rosolina - Po di Tramontana";18/02/1992;;"AGRO";-2;"ROSOLINA (RO)";"RO";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1756791.071;4996051.344;45.07114136;12.26177816;"FISS.TAR.C.BIANCO";"PO";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
113;"Castelnovo Bariano";01/03/1992;;"AGRO";10;"CASTELNOVO BARIANO (RO)";"RO";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1681406.966;4988994.954;45.03101641;11.30253145;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
114;"Villadose";01/03/1992;;"AGRO";0;"VILLADOSE (RO)";"RO";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1730059;4995063;45.07144877;11.92220596;"FISS.TAR.C.BIANCO";"FTC: DELTA PO ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
115;"Adria - Bellombra";01/02/1992;;"AGRO";-1;"ADRIA (RO)";"RO";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1737017.833;4989114.01;45.01567605;12.0076803;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
116;"Frassinelle Polesine";01/02/1992;;"AGRO";4;"FRASSINELLE POLESINE (RO)";"RO";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1711183.248;4985415.406;44.99058314;11.6786399;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
117;"Sorga'";01/03/1992;;"AGRO";24;"SORGA' (VR)";"VR";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1657714.071;5009099.344;45.21753966;11.00830055;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro- Canalbianco - Tione";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
118;"Bardolino - Calmasino";01/12/1991;;"AGRO";160;"BARDOLINO (VR)";"VR";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1637949.071;5042029.344;45.51796066;10.7659099;"PO: VENETO";"PO - Lago di Garda";"Vene-C Adige-Garda e monti Lessini";
119;"Roverchiara";01/11/1991;;"AGRO";17;"ROVERCHIARA (VR)";"VR";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1676635.071;5014964.344;45.2658043;11.25118706;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
120;"Dolce'";01/11/1991;;"AGRO";105;"DOLCE' (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1644210.071;5051241.484;45.59957097;10.84874997;"ADIGE: VENETO";"ADIGE: ALTA VAL D'ADIGE VENETA";"Vene-C Adige-Garda e monti Lessini";
121;"Lusia";07/07/1995;;"AGRO";6;"LUSIA (RO)";"RO";"BFOGL, DVENTO2M, DVENTO2M, ET0, HUMIDEX2M, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1707266.166;4996611.55;45.09241907;11.63364487;"FISS.TAR.C.BIANCO";"FTC: DELTA PO ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
122;"Trebaseleghe";11/07/1995;;"AGRO";23;"TREBASELEGHE (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1735991.071;5054349.344;45.60240419;12.02573694;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
123;"Arcole";01/11/1991;;"AGRO";27;"ARCOLE (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ET0, HUMIDEX2M, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1679787.748;5027249.815;45.37550277;11.29582046;"ADIGE: VENETO";"ADIGE";"Vene-B Alto Brenta-Bacchiglione-Alpone";
124;"Marano di Valpolicella";01/11/1991;;"AGRO";284;"MARANO DI VALPOLICELLA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1650162.324;5045636.709;45.54788884;10.92332541;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
125;"San Pietro in Cariano";01/12/1991;;"AGRO";127;"SAN PIETRO IN CARIANO (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1647512.814;5041285.815;45.50931262;10.88807026;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
126;"Illasi";01/11/1991;;"AGRO";144;"ILLASI (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1669805;5036401;45.46030398;11.17156147;"ADIGE: VENETO";"ADIGE - Illasi";"Vene-C Adige-Garda e monti Lessini";
127;"Buttapietra";01/12/1991;;"AGRO";39;"BUTTAPIETRA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1657524.664;5023912.798;45.35084342;11.01059728;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
128;"Grezzana";01/02/1992;;"AGRO";156;"GREZZANA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1657309.716;5041573.724;45.50976063;11.0135023;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
129;"Castelnuovo del Garda";01/12/1991;;"AGRO";120;"CASTELNUOVO DEL GARDA (VR)";"VR";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1638553.146;5035030.222;45.45487236;10.77166288;"FISS.TAR.C.BIANCO";"FTC: ORIGINE NORD-OVEST";"Vene-C Adige-Garda e monti Lessini";
